Name,Address,In Tx,Out Tx,In BTC,Out BTC,In USD,Out USD,Paying,Paid,Date 1st Tx,Date last Tx,Lifetime,Cluster Size,,,,
Nanoindustryinv.com,1Ee9ZiZkmygAXUiyeYKRSA3tLe4vNYEAgA,1073,4247,480.1777452,480.1777452,"$155,352 ","$149,118 ",1034,488,8/16/14 13:21,3/6/15 21:29,202.3388889,2,,,,
GrandAgoFinance,1MzNQ7HV8dQ6XQ52zBGYkCZkkWv2Pd3VG6,491,826,178.7435133,178.7405504,"$64,767 ","$64,506 ",489,233,9/24/14 23:53,1/29/15 13:34,126.5698958,1,,,,
Cryptory,1FyedPPk923wRfmVphV1CLt3bVLGxHZXpK,10519,12304,9439.332903,9439.189818,"$4,658,008 ","$4,667,986 ",1540,8764,9/2/13 14:17,1/8/15 9:49,492.8136574,232,,,,
Leancy,145SmDToAhtfcBQhNxfeM8hnS6CBeiRukY,6901,17805,3092.838344,3092.838244,"$1,896,145 ","$1,873,933 ",6833,1453,12/16/13 20:19,11/25/14 8:19,343.4998727,1,,,,
Minimalism10,1FuypAdeC7mSmYBsQLbG9XV261bnfgWbgB,48,198,13.06138495,13.06138495,"$7,835 ","$7,752 ",47,64,2/27/14 13:21,3/27/14 8:19,27.79043981,1,,,,
MiniPonziCoin,1F8ZKpjMDpnpF79mZ1pxZRoNKZgXm4Tf1d,1443,186,445.9717761,445.9677761,"$266,000 ","$263,458 ",301,287,2/18/14 15:05,4/14/14 18:17,55.13378472,1,,,,
120cycle,1E5MCTtXn7n2svpZ1bDHZXndY9K7qQeqZP,186,98,14.28231245,14.28231245,"$8,264 ","$8,243 ",72,72,3/24/14 18:51,4/3/14 8:58,9.588622685,78,,,,
10PERCENTBTC,1BtcBoSSnqe8mFJCUEyCNmo3EcF8Yzhpnc,7116,2961,107.7159079,107.7159079,"$42,894 ","$44,623 ",649,569,9/1/14 18:14,8/14/17 17:20,1077.96272,13,,,,
Ponzi.io,1ponziUjuCVdB167ZmTWH48AURW1vE64q,3438,2873,369.3536323,369.3333824,"$258,369 ","$258,281 ",1127,883,2/4/14 1:10,9/10/16 11:43,949.4398843,33,,,,
LaxoTrade,1LaxoTrQy51LnB289VmoSAgN6J6UrJbfL9,1849,2949,1580.240959,1580.240149,"$570,106 ","$563,401 ",1028,30844,8/20/14 16:25,9/18/15 8:14,393.6591667,491,,,,
Ponzi120,12PoNZiEtabwkCU4YFffshWNF1cRiAk5nq,598,29,144.9007844,144.9007844,"$77,848 ","$78,015 ",224,179,2/25/14 18:08,3/1/14 19:37,4.061921296,1,,,,
RockwellPartners,139eeGkMGR6F9EuJQ3qYoXebfkBbNAsLtV,470,3945,731.7512299,731.6826258,"$386,912 ","$391,113 ",456,494,3/3/14 16:30,6/20/14 9:49,108.7210185,1,,,,
