address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff
15fcEUmKXBiScw2CDwKEre2YE8brvWPxVA,2051098.0,"('2011-05-02', 5)",15,33.0,33,1,49,165.0,165.0,165.0,165.0,.10000000,7.45000000,0.1,0.225757575758,7.449999999999999
121E9w1ogmjowDbJmkmCuqqQGztJteR78A,76904856.0,"('2011-05-18', 4)",87,2.793103448275862,81,29,67,29040.0,60882.0,278857.0,2981.0,141.57770258,141.57770258,4.88198974414,1.74787287136,141.57770258
12Hd6yd28NXoLuBYwqfncv3J7xXQnKKhGb,178822511.0,"('2013-06-30', 8)",118,39.6,198,5,41,8595.0,8595.0,8595.0,8595.0,10.05371573,30.87671499,2.010743146,0.155943005,30.876714989999996
166uYUb7ogk1xyxSSYQzdXRefdbYJaMTjs,934241.0,"('2010-12-28', 8)",10,7.75,31,4,67,5365.0,8232.5,22200.0,0.0,106.17000000,106.17000000,26.5425,3.42483870968,106.17000000000002
16Zf5yBa2BhitYZMdENxAfkPs244YTG7y4,706251.0,"('2011-01-23', 13)",8,1.2857142857142858,18,14,67,2812.0,41064.25,259088.0,647.0,330.77000000,330.77000000,23.6264285714,18.3761111111,330.77000000000004
17wLBifUVkmAovSbVGJcXTvsgUiSMa1rjx,60486384.0,"('2011-06-23', 2)",23,6.5,26,4,54,28461.5,28461.5,40186.0,16737.0,20.35000000,20.83000000,5.0875,0.801153846154,20.83
1EyzXkzD4bRRJFwWs48rhtwe6WsE8bxARJ,69263235.0,"('2011-06-15', 2)",29,3.4285714285714284,24,7,63,118027.0,148656.5,340869.0,17703.0,61.45288979,61.45288979,8.77898425571,2.56053707458,61.452889790000015
14XDyg1YkQFEkjJEHGYS1x3MSGEnhhATtH,3669366.0,"('2011-05-28', 9)",22,21.0,42,2,57,30455.5,30455.5,52904.0,8007.0,2.47000000,2.77000000,1.235,0.0659523809524,2.7699999999999974
19QgdEbau15zQVNoTuMHtRRz4nsYv7mgSy,4484595.0,"('2011-06-18', 3)",22,7.666666666666667,23,3,63,3040.0,4172.666667,7479.0,1999.0,4.03000000,4.12000000,1.34333333333,0.179130434783,4.119999999999999
1PkiFqu4w85DDvZ1bTgyPKijw99bpHz3dD,72575041.0,"('2013-04-03', 2)",37,6.8,34,5,51,520821.0,520821.0,520821.0,520821.0,1.13000000,1.15000000,0.138,0.0208823529412,0.7100000000000003
18UGJzDev87mqZZxiAH3JyQNtXXpBT2HsS,11243809.0,"('2011-01-22', 9)",12,1.2,18,15,67,20781.5,62177.875,263032.0,198.0,58.50000000,58.50000000,3.9,3.25,58.50000000000001
1B7SvpLs2bmB8mGX2Bqdqn8UToTB1qgwUd,77253844.0,"('2011-04-20', 5)",317,3.111111111111111,308,99,68,43348.5,126045.608696,1314205.0,0.0,7563.66203569,7563.66203569,76.4006266231,24.5573442717,7563.662035689999
1MwLj2SfC1yEm8spki1d9SdhhXZR6gHprB,76249893.0,"('2011-06-12', 18)",405,23.22222222222222,836,36,67,16357.0,654168.482759,14080129.0,0.0,670.99534610,670.99534610,18.6387596139,0.802626012081,670.9953461
1BSmoCScpjyPbdnZV2ZUeCTX9Bae4VXiYS,42481278.0,"('2011-06-01', 3)",19,3.3333333333333335,20,6,64,273147.5,273147.5,293670.0,252625.0,39.20823399,39.20823399,6.534705665,1.9604116995,39.208233990000004
