address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff
13FvXaqpgqkNRmMd43JDdcYSJqRha32F8q,5365165.0,"('2011-05-26', 4)",18,1.0,17,17,0,11758.0,19178.846154,60951.0,2622.0,16.32000000,16.32000000,0.96,0.96,16.319999999999997
1AoaLZMw5pyEBz3AAdosguHkLEZcNy1ZYn,133163906.0,"('2015-07-11', 441)",9,356.5,713,2,0,38340.0,38340.0,69312.0,7368.0,1.50000000,1.50711000,0.75,0.00211375876578,1.50711
1Mc57132WGeake8gBxGtCFtBzHkR1HAuey,101305557.0,"('2012-06-30', 3)",528,6.409090909090909,564,88,0,36070.0,57357.041096,320268.0,0.0,746.10000000,746.10000000,8.47840909091,1.32287234043,746.1000000000007
1C4yQzoK2Q8tQCLjCPC8DtDSBf62vf6mVR,12751485.0,"('2011-05-17', 7)",73,5.96,149,25,0,16235.0,48924.136364,467668.0,517.0,15.65000000,16.07257003,0.626,0.107869597517,16.07257002999999
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,15205180.0,"('2011-03-21', 3526)",42,1.0510229540918163,8425,8016,1,0.0,816.425407,5736367.0,0.0,133.50000000,133.50000000,0.0166541916168,0.0158456973294,133.50000000002902
1J58mJj5wnjyhhmdFdVew9amSvzwkVh5dV,142792848.0,"('2011-06-07', 26)",196,0.8511166253101737,343,403,89,1722.0,29941.721461,694720.0,0.0,54.75000000,54.75000000,0.114640198511,0.134693877551,46.200000000000095
1Kc2y5rwMU8nHXXpNJmrAcsxJsA4ZQi8wN,43714428.0,"('2011-06-19', 5)",122,9.615384615384615,125,13,1,7575.0,19503.363636,73625.0,323.0,150.35741574,150.35741574,11.5659550569,1.20285932592,150.35741574000005
12xm2jMihYMZ2hjJrPY6JWxKArmkRf3BfP,18252696.0,"('2011-04-19', 4)",33,9.25,37,4,0,673830.5,673830.5,1193492.0,154169.0,15.09000000,15.09000000,3.7725,0.407837837838,15.09
15rkMjsuJsq7ZTr4rEbYdkMF39iCXTeqcW,3747284.0,"('2011-06-08', 9)",28,1.0217391304347827,47,46,0,6657.0,14345.8,67501.0,687.0,61.98000000,61.98000000,1.34739130435,1.31872340426,61.98000000000001
1NqEVAkrxnL7hqWqrw3rf9JLFvmRsee1xU,11605348.0,"('2011-03-26', 8)",54,1.0204081632653061,50,49,0,28183.0,49492.606061,248295.0,1968.0,37.72000000,37.72000000,0.769795918367,0.7544,37.72
143YhfeMh1rXVBFhJGdMgo9U7PKbbAMkfy,2970803.0,"('2011-05-04', 8)",21,1.0,25,25,0,18910.0,25251.888889,85142.0,0.0,.25000000,.25000000,0.01,0.01,0.2500000000000001
1Dj1SocbbH9Lbb9aTdqSHB9AAjhdxNNZha,8549950.0,"('2011-06-14', 4)",39,1.0,34,34,0,10828.0,25625.5,109457.0,1187.0,957.29650142,957.29650142,28.1557794535,28.1557794535,957.29650142
