,address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,addresses_in_out_y,class
0,35MvT575mUiiDBxwbncK7gt6zYHQzT23SF,2775901.0,83,14,1.2554744525547443,172,137,504.0,7396.070706999999,608232.0,0.0,1.85388704,1.85388704,0.00935085467153,0.0074364365697700005,1.28106709,46,1.0
1,1BmZW65ZoeLa1kbL9MPFLfkS818mqFUSma,28329132.0,42,185,1.2697368421052628,579,456,6622.0,29512.054902,373766.0,0.0,9.73751826,9.74640858,0.013325940087700001,0.0105103955095,6.085518999999987,193,1.0
2,1PonziSPomZskfn9mR59v45SdpBG3MgEob,6387509.0,6,5,1.6,8,5,1665.5,2487.75,5048.0,1572.0,355000.0,355100.0,0.0071,0.00443875,0.03551,4,1.0
3,1ponziUjuCVdB167ZmTWH48AURW1vE64q,117933299.0,3153,23,2.6371340523882902,3423,1298,0.0,1731.9684379999999,4257381.0,0.0,348.60166355,348.64105345,0.268563099884,0.10185050644200001,348.634283549997,531,1.0
4,1MoneySKsyZewy9c7wPyWdX7j6Lxgfazdc,17457974.0,223,10,1.9666666666666663,177,90,0.0,3684.916667,198265.0,0.0,36.26444964,36.26446964,0.402562996,0.204580675932,36.23066964,31,1.0
5,1CHJArco4Qv6cmTZNF7Km7cuATCD1Z1NSu,14479707.0,66,8,1.06,53,50,0.0,589.125,10650.0,0.0,11.72397027,11.72399027,0.1054732872,0.09950328981130001,5.2736743599999985,15,1.0
6,1CSFymHagFQoumXwn3x9ndsgxgqZNCKAnD,43688287.0,98,9,1.8085106382978724,85,47,0.0,31097.859649,895842.0,0.0,808.33033474,808.33034474,2.68432056766,1.48427149035,126.16307668,33,1.0
7,1LMvwHjudMmPNKe5Vd5GPY2pmPTyV2qLtu,44165755.0,32,8,2.727272727272727,60,22,92415.0,142781.0,331787.0,4141.0,109.7722048,109.7822148,2.18758170182,0.802280124,48.13680744000001,2,1.0
8,121x1rbwtPk4jg48V42zv1CprdY5Lm1ozb,3172652.0,57,6,1.827586206896552,53,29,0.0,398.68965499999996,3261.0,0.0,12.93835664,12.93835664,0.446150228966,0.244119936604,12.93835664,16,1.0
9,1PonzibJuT6NZ1a5xATqvsdNF5fqGRhnMC,8710728.0,185,43,1.776,444,250,0.0,1362.492958,132774.0,0.0,14.23230721,14.23230721,0.032941367799999996,0.0185104998874,8.235341950000016,106,1.0
